instruction,response
How could ideal experiments contribute to clarifying quantum theory?,"These ideal experiments could be very useful in clarifying certain problems. If there was no agreement among the physicists about the result of such an ideal experiment, it was frequently possible to find a similar but simpler experiment that could be carried out, so that the experimental answer contributed essentially to the clarification of quantum theory."
What was the effect of the paradoxes of quantum theory during its clarification?,"The strangest experience of those years was that the paradoxes of quantum theory did not disappear during this process of clarification; on the contrary, they became even more marked and more exciting."
What did Compton discover about X-ray scattering in 1923?,"There was, for instance, the experiment of Compton on the scattering of X-rays. From earlier experiments on the interference of scattered light there could be no doubt that scattering takes place essentially in the following way: The incident light wave makes an electron in the beam vibrate in the frequency of the wave; the oscillating electron then emits a spherical wave with the same frequency and thereby produces the scattered light. However, Compton found in 1923 that the frequency of scattered X-rays was different from the frequency of the incident X-ray."
How was the change in frequency of scattered X-rays explained?,"This change of frequency could be formally understood by assuming that scattering is to be described as collision of a light quantum with an electron. The energy of the light quantum is changed during the collision; and since the frequency times Planck's constant should be the energy of the light quantum, the frequency also should be changed."
What contradiction arose from Compton's experiment and earlier light scattering experiments?,But what happens in this interpretation of the light wave? The two experiments one on the interference of scattered light and the other on the change of frequency of the scattered light seemed to contradict each other without any possibility of compromise.
What was the prevailing belief among physicists about the contradictions in quantum theory?,By this time many physicists were convinced that these apparent contradictions belonged to the intrinsic structure of atomic physics.
What was de Broglie's contribution to quantum theory in 1924?,"Therefore, in 1924 de Broglie in France tried to extend the dualism between wave description and particle description to the elementary particles of matter, primarily to the electrons. He showed that a certain matter wave could 'correspond' to a moving electron, just as a light wave corresponds to a moving light quantum."
What was unclear about de Broglie's concept of 'correspondence'?,It was not clear at the time what the word 'correspond' meant in this connection. But de Broglie suggested that the quantum condition in Bohr's theory should be interpreted as a statement about the matter waves.
How did de Broglie's idea connect with Bohr's quantum condition?,"A wave circling around a nucleus can for geometrical reasons only be a stationary wave; and the perimeter of the orbit must be an integer multiple of the wavelength. In this way de Broglie's idea connected the quantum condition, which always had been a foreign element in the mechanics of the electrons, with the dualism between waves and particles."
What issue did Bohr's theory address regarding the frequency of emitted radiation?,In Bohr's theory the discrepancy between the calculated orbital frequency of the electrons and the frequency of the emitted radiation had to be interpreted as a limitation to the concept of the electronic orbit.
How did Bohr's theory explain the stability of electrons in higher orbits?,"For the higher orbits, however, the electrons should move at a large distance from the nucleus just as they do when one sees them moving through a cloud chamber. There one should speak about electronic orbits."
What did Bohr's principle of correspondence explain about spectral line intensities?,It was therefore very satisfactory that for these higher orbits the frequencies of the emitted radiation approach the orbital frequency and its higher harmonics. Also Bohr had already suggested in his early papers that the intensities of the emitted spectral lines approach the intensities of the corresponding harmonics.
What did Bohr's theory suggest about the qualitative description of atomic behavior?,"This principle of correspondence had proved very useful for the approximative calculation of the intensities of spectral lines. In this way one had the impression that Bohr's theory gave a qualitative but not a quantitative description of what happens inside the atom; that some new feature of the behavior of matter was qualitatively expressed by the quantum conditions, which in turn were connected with the dualism between waves and particles."
What were ideal experiments in quantum theory?,One frequently discussed what one called ideal experiments. Such experiments were designed to answer a very critical question irrespective of whether or not they could actually be carried out.
How could ideal experiments contribute to clarifying quantum theory?,"These ideal experiments could be very useful in clarifying certain problems. If there was no agreement among the physicists about the result of such an ideal experiment, it was frequently possible to find a similar but simpler experiment that could be carried out, so that the experimental answer contributed essentially to the clarification of quantum theory."
What was the paradox in quantum theory during its clarification?,"The strangest experience of those years was that the paradoxes of quantum theory did not disappear during this process of clarification; on the contrary, they became even more marked and more exciting."
What did Compton discover in 1923 about the scattering of X-rays?,"There was, for instance, the experiment of Compton on the scattering of X-rays. From earlier experiments on the interference of scattered light there could be no doubt that scattering takes place essentially in the following way: The incident light wave makes an electron in the beam vibrate in the frequency of the wave; the oscillating electron then emits a spherical wave with the same frequency and thereby produces the scattered light."
What contradiction arose from Compton's experiment and earlier light scattering experiments?,"However, Compton found in 1923 that the frequency of scattered X-rays was different from the frequency of the incident X-ray. This change of frequency could be formally understood by assuming that scattering is to be described as collision of a light quantum with an electron."
How was the duality of light interpreted in quantum theory?,"The energy of the light quantum is changed during the collision; and since the frequency times Planck's constant should be the energy of the light quantum, the frequency also should be changed."
How did de Broglie extend the dualism between waves and particles?,"Therefore, in 1924 de Broglie in France tried to extend the dualism between wave description and particle description to the elementary particles of matter, primarily to the electrons."
What was de Broglie's interpretation of quantum theory?,"He showed that a certain matter wave could 'correspond' to a moving electron, just as a light wave corresponds to a moving light quantum."
How did de Broglie's idea connect quantum theory with the wave-particle dualism?,"A wave circling around a nucleus can for geometrical reasons only be a stationary wave; and the perimeter of the orbit must be an integer multiple of the wavelength. In this way de Broglie's idea connected the quantum condition, which always had been a foreign element in the mechanics of the electrons, with the dualism between waves and particles."
What issue did Bohr's theory address regarding the frequency of emitted radiation?,In Bohr's theory the discrepancy between the calculated orbital frequency of the electrons and the frequency of the emitted radiation had to be interpreted as a limitation to the concept of the electronic orbit.
How did Bohr's theory explain the stability of electrons in higher orbits?,"For the higher orbits, however, the electrons should move at a large distance from the nucleus just as they do when one sees them moving through a cloud chamber. There one should speak about electronic orbits."
What did Bohr's principle of correspondence explain about spectral line intensities?,It was therefore very satisfactory that for these higher orbits the frequencies of the emitted radiation approach the orbital frequency and its higher harmonics. Also Bohr had already suggested in his early papers that the intensities of the emitted spectral lines approach the intensities of the corresponding harmonics.
What did Bohr's theory suggest about the qualitative description of atomic behavior?,"This principle of correspondence had proved very useful for the approximative calculation of the intensities of spectral lines. In this way one had the impression that Bohr's theory gave a qualitative but not a quantitative description of what happens inside the atom; that some new feature of the behavior of matter was qualitatively expressed by the quantum conditions, which in turn were connected with the dualism between waves and particles."
What were the two different approaches to solving the final problem in quantum theory?,"The one was a turning around of the question. Instead of asking: How can one in the known mathematical scheme express a given experimental situation? the other question was put: Is it true, perhaps, that only such experimental situations can arise in nature as can be expressed in the mathematical formalism?"
What did the assumption about mathematical formalism lead to?,The assumption that this was actually true led to limitations in the use of those concepts that had been the basis of classical physics since Newton.
What was learned about the concepts of position and velocity in Newtonian mechanics?,One could speak of the position and of the velocity of an electron as in Newtonian mechanics and one could observe and measure these quantities. But one could not fix both quantities simultaneously with an arbitrarily high accuracy.
What is the relationship between the inaccuracies of position and velocity?,Actually the product of these two inaccuracies turned out to be not less than Planck's constant divided by the mass of the particle.
What are the relations called that arise from the uncertainties in experimental situations?,Similar relations could be formulated for other experimental situations. They are usually called relations of uncertainty or principle of indeterminacy.
What was learned about the old concepts in quantum theory?,One had learned that the old concepts fit nature only inaccurately.
What was Bohr's concept of complementarity?,The other way of approach was Bohr's concept of complementarity. Schrodinger had described the atom as a system not of a nucleus and electrons but of a nucleus and matter waves.
How did Bohr view the particle and wave pictures of quantum theory?,"Bohr considered the two pictures particle picture and wave picture as two complementary descriptions of the same reality. Any of these descriptions can be only partially true, there must be limitations to the use of the particle concept as well as of the wave concept, else one could not avoid contradictions."
What happens when the limitations of the particle and wave concepts are considered?,"If one takes into account those limitations which can be expressed by the uncertainty relations, the contradictions disappear."
What is the Copenhagen interpretation of quantum theory?,"In this way since the spring of 1927 one has had a consistent interpretation of quantum theory, which is frequently called the 'Copenhagen interpretation.'"
What happened at the Solvay conference in 1927 regarding the Copenhagen interpretation?,"This interpretation received its crucial test in the autumn of 1927 at the Solvay conference in Brussels. Those experiments which had always led to the worst paradoxes were again and again discussed in all details, especially by Einstein. New ideal experiments were invented to trace any possible inconsistency of the theory, but the theory was shown to be consistent and seemed to fit the experiments as far as one could see."
How long did it take to understand the quantum theoretical laws?,It should be emphasized at this point that it has taken more than a quarter of a century to get from the first idea of the existence of energy quanta to a real understanding of the quantum theoretical laws.
What does the long time it took to understand quantum theory indicate?,This indicates the great change that had to take place in the fundamental concepts concerning reality before one could understand the new situation.
How did Newton's work influence the development of natural science?,"It has been stated before that the concepts of natural science can sometimes be sharply defined with regard to their connections. This possibility was realized for the first time in Newton's *Principia* and it is just for that reason that Newton's work has exerted its enormous influence on the whole development of natural science in the following centuries. Newton begins his *Principia* with a group of definitions and axioms which are interconnected in such a way that they form what one may call a 'closed system.' Each concept can be represented by a mathematical symbol, and the connections between the different concepts are then represented by mathematical equations expressed by means of the symbols."
What makes Newton's system in *Principia* significant?,"The mathematical image of the system ensures that contradictions cannot occur in the system. In this way the possible motions of bodies under the influence of the acting forces are represented by the possible solutions of the equations. The system of definitions and axioms which can be written in a set of mathematical equations is considered as describing an eternal structure of nature, depending neither on a particular space nor on particular time. The connection between the different concepts in the system is so close that one could generally not change any one of the concepts without destroying the whole system."
How was Newton's system perceived over time?,"For this reason Newton's system was for a long time considered as final and the task set before the scientists of the following period seemed simply to be an expansion of Newton's mechanics into wider fields of experience. Actually, physics did develop along these lines for about two centuries. From the theory of the motion of mass points one could go over to the mechanics of solid bodies, to rotatory motions, and one could treat the continuous motions of a fluid or the vibrating motions of an elastic body. All these parts of mechanics or dynamics were gradually developed in close connection with the evolution of mathematics, especially of the differential calculus, and the results were checked by experiments."
How did physics expand following Newton's mechanics?,"Acoustics and hydrodynamics became a part of mechanics. Another science, in which the application of Newton's mechanics was obvious, was astronomy. The improvements of the mathematical methods gradually led to more and more accurate determinations of the motions of the planets and of their mutual interactions. When the phenomena of electricity and magnetism were discovered, the electric or magnetic forces were compared to the gravitational forces and their actions upon the motion of the bodies could again be studied along the lines of Newtonian mechanics."
How was the theory of heat related to Newton's mechanics?,"Finally, in the nineteenth century, even the theory of heat could be reduced to mechanics by the assumption that heat really consists of a complicated statistical motion of the smallest parts of matter. By combining the concepts of the mathematical theory of probability with the concepts of Newtonian mechanics, Clausius, Gibbs, and Boltzmann were able to show that the fundamental laws in the theory of heat could be interpreted as statistical laws following from Newton's mechanics when applied to very complicated mechanical systems."
What difficulty arose after Newtonian mechanics in the field of electromagnetic theory?,"Up to this point the program set up by Newtonian mechanics had been carried out quite consistently and had led to the understanding of a wide field of experience. The first difficulty arose in the discussions on the electromagnetic field in the work of Faraday and Maxwell. In Newtonian mechanics the gravitational force had been considered as given, not as an object for further theoretical studies. In the work of Faraday and Maxwell, however, the field of force itself became the object of the investigation; the physicists wanted to know how this field of force varied as a function of space and time."
How did Faraday and Maxwell approach the theory of electromagnetic fields?,"Therefore, they tried to set up equations of motion for the fields, not primarily for the bodies upon which the fields act. This change led back to a point of view which had been held by many scientists before Newton. An action could, so it seemed, be transferred from one body to another only when the two bodies touched each other; for instance, in a collision or through friction. Newton had introduced a very new and strange hypothesis by assuming a force that acted over a long distance. Now in the theory of the fields of force one could come back to the older idea, that action is transferred from one point to a neighboring point, only by describing the behavior of the fields in terms of differential equations."
What was the result of describing the electromagnetic fields in terms of differential equations?,"This proved actually to be possible, and therefore the description of the electromagnetic fields as given by Maxwell's equations seemed a satisfactory solution of the problem of force. Here one had really changed the program given by Newtonian mechanics. The axioms and definitions of Newton had referred to bodies and their motion; but with Maxwell, the fields of force seemed to have acquired the same degree of reality as the bodies in Newton's theory."
Why was the change in the concept of reality not easily accepted?,"This view of course was not easily accepted; and to avoid such a change in the concept of reality, it seemed plausible to compare the electromagnetic fields with the fields of elastic deformation or stress, the light waves of Maxwell's theory with the sound waves in elastic bodies. Therefore, many physicists believed that Maxwell's equations actually referred to the deformations of an elastic medium, which they called the ether; and this name was given merely to explain that the medium was so light and thin that it could penetrate into other matter and could not be seen or felt."
Why was the ether explanation not satisfactory?,"This explanation was not too satisfactory, however, since it could not explain the complete absence of any longitudinal light waves. Finally, the theory of relativity, which will be discussed in the next chapter, showed in a conclusive way that the concept of the ether as a substance, to which Maxwell's equations refer, had to be abandoned. The arguments cannot be discussed at this point; but the result was that the fields had to be considered as an independent reality."
What was the startling result of the theory of special relativity?,"A further and still more startling result of the theory of special relativity was the discovery of new properties of space and time, actually of a relation between space and time that had not been known before and did not exist in Newtonian mechanics."
What conclusion did some physicists come to after the theory of special relativity?,"Under the impression of this completely new situation many physicists came to the following somewhat rash conclusion: Newtonian mechanics had finally been disproved. The primary reality is the field and not the body, and the structure of space and time is correctly described by the formulas of Lorentz and Einstein, and not by the axioms of Newton. The mechanics of Newton was a good approximation in many cases, but now it must be improved to give a more rigorous description of nature."
How does the viewpoint in quantum theory differ from the conclusion some physicists drew from special relativity?,"From the point of view which we have finally reached in quantum theory such a statement would appear as a very poor description of the actual situation. First, it ignores the fact that most experiments by which fields are measured are based upon Newtonian mechanics and, second, that Newtonian mechanics cannot be improved; it can only be replaced by something essentially different!"
How should the situation be described according to quantum theory?,"The development of quantum theory has taught us that one should rather describe the situation in the following terms: Wherever the concepts of Newtonian mechanics can be used to describe events in nature, the laws formulated by Newton are strictly correct and cannot be improved. But the electromagnetic phenomena cannot adequately be described by the concepts of Newtonian mechanics. Therefore, the experiments on the electromagnetic fields and on light waves, together with their theoretical analysis by Maxwell, Lorentz and Einstein, have led to a new closed system of definitions and axioms and of concepts that can be represented by mathematical symbols, which is coherent in the same sense as the system of Newton's mechanics, but is essentially different from it."
What change did scientists have to make regarding the progress in science?,"Therefore, even the hopes which had accompanied the work of the scientists since Newton had to be changed. Apparently progress in science could not always be achieved by using the known laws of nature for explaining new phenomena. In some cases new phenomena that had been observed could only be understood by new concepts which were adapted to the new phenomena in the same way as Newton's concepts were to the mechanical events. These new concepts again could be connected in a closed system and represented by mathematical symbols."
What problem arose when different sets of concepts were used in physics?,"But if physics or, more generally, natural science proceeded in this way, the question arose: What is the relation between the different sets of concepts? If, for instance, the same concepts or words occur in two different sets and are defined differently with regard to their connection and mathematical representation, in what sense do the concepts represent reality?"
What did the theory of special relativity reveal about the concepts of space and time?,This problem arose at once when the theory of special relativity had been discovered. The concepts of space and time belonged both to Newtonian mechanics and to the theory of relativity. But space and time in Newtonian mechanics were independent; in the theory of relativity they were connected by the Lorentz transformation. In this special case one could show that the statements of the theory of relativity approached those of Newtonian mechanics within the limit in which all velocities in the system are very small as compared with the velocity of light.
What limitation was found in Newtonian mechanics through the theory of relativity?,From this one could conclude that the concepts of Newtonian mechanics could not be applied to events in which there occurred velocities comparable to the velocity of light. Thereby one had finally found an essential limitation of Newtonian mechanics which could not be seen from the coherent set of concepts nor from simple observations on mechanical systems.
What does the relation between different coherent sets of concepts require?,"Therefore, the relation between two different coherent sets of concepts always requires very careful investigation."
What is the next step after discussing the relation between different sets of concepts?,Before we enter into a general discussion about the structure of any such closed and coherent set of concepts and about their possible relations we will give a brief description of those sets of concepts that have so far been defined in physics. One can distinguish four systems that have already attained their final form.
What is the first set of concepts in physics and what does it describe?,"The first set, Newtonian mechanics, has already been discussed. It is suited for the description of all mechanical systems, of the motion of fluids and the elastic vibration of bodies; it comprises acoustics, statics, aerodynamics."
What is the second set of concepts and how is it connected to mechanics?,"The second closed system of concepts was formed in the course of the nineteenth century in connection with the theory of heat. Though the theory of heat could finally be connected with mechanics through the development of statistical mechanics, it would not be realistic to consider it as a part of mechanics. Actually the phenomenological theory of heat uses a number of concepts that have no counterpart in other branches of physics, like: heat, specific heat, entropy, free energy, etc. If from this phenomenological description one goes over to a statistical interpretation, by considering heat as energy, distributed statistically among the very many degrees of freedom due to the atomic structure of matter, then heat is no more connected with mechanics than with electrodynamics or other parts of physics. The central concept of this interpretation is the concept of probability, closely connected with the concept of entropy in the phenomenological theory."
What does the statistical theory of heat require for its interpretation?,"Besides this concept the statistical theory of heat requires the concept of energy. But any coherent set of axioms and concepts in physics will necessarily contain the concepts of energy, momentum and angular momentum and the law that these quantities must under certain conditions be conserved. This follows if the coherent set is intended to describe certain features of nature that are correct at all times and everywhere; in other words, features that do not depend on space and time or, as the mathematicians put it, that are invariant under arbitrary translations in space and time, rotations in space and the Galileo or Lorentz transformation."
How can the theory of heat be combined with other systems of concepts?,"Therefore, the theory of heat can be combined with any of the other closed systems of concepts."
What is the third closed system of concepts in physics?,"The third closed system of concepts and axioms has its origin in the phenomena of electricity and magnetism and has reached its final form in the first decade of the twentieth century through the work of Lorentz, Einstein and Minkowski. It comprises electrodynamics, special relativity, optics, magnetism, and one may include the de Broglie theory of matter waves of all different sorts of elementary particles, but not the wave theory of Schrodinger."
What is the fourth coherent system in physics and its central concept?,"Finally, the fourth coherent system is essentially the quantum theory as it has been described in the first two chapters. Its central concept is the probability function, or the 'statistical matrix,' as the mathematicians call it. It comprises quantum and wave mechanics, the theory of atomic spectra, chemistry, and the theory of other properties of matter like electric conductivity, ferromagnetism, etc."
How are the four sets of concepts related?,"The relations between these four sets of concepts can be indicated in the following way: The first set is contained in the third as the limiting case where the velocity of light can be considered as infinitely big, and is contained in the fourth as the limiting case where Planck's constant of action can be considered as infinitely small. The first and partly the third set belong to the fourth as a priori for the description of the experiments. The second set can be connected with any of the other three sets without difficulty and is especially important in its connection with the fourth. The independent existence of the third and fourth sets suggests the existence of a fifth set, of which one, three, and four are limiting cases. This fifth set will probably be found someday in connection with the theory of the elementary particles."
What is mentioned about the theory of general relativity in relation to other sets?,"We have omitted from this enumeration the set of concepts connected with the theory of general relativity, since this set has perhaps not yet reached its final form. But it should be emphasized that it is distinctly different from the other four sets."
What is considered the most important feature of a closed system of axioms and definitions?,"Perhaps the most important feature is the possibility of finding a consistent mathematical representation for it. This representation must guarantee that the system does not contain contradictions. Then the system must be suited to describe a wide field of experience. The great variety of phenomena in the field should correspond to the great number of solutions of the equations in the mathematical representation. The limitations of the field can generally not be derived from the concepts. The concepts are not sharply defined in their relation to nature, in spite of the sharp definition of their possible connections. The limitations will therefore be found from experience, from the fact that the concepts do not allow a complete description of the observed phenomena."
What is the relationship between physics and chemistry?,"The nearest neighbor to physics is chemistry. Actually through quantum theory these two sciences have come to a complete union. But a hundred years ago they were widely separated, their methods of research were quite different, and the concepts of chemistry had at that time no counterpart in physics. Concepts like valency, activity, solubility and volatility had a more qualitative character, and chemistry scarcely belonged to the exact sciences. When the theory of heat had been developed by the middle of the last century scientists started to apply it to the chemical processes, and ever since then the scientific work in this field has been determined by the hope of reducing the laws of chemistry to the mechanics of the atoms."
Why was it not possible to reduce the laws of chemistry to Newtonian mechanics?,"It should be emphasized, however, that this was not possible within the framework of Newtonian mechanics. In order to give a quantitative description of the laws of chemistry one had to formulate a much wider system of concepts for atomic physics. This was finally done in quantum theory, which has its roots just as much in chemistry as in atomic physics. Then it was easy to see that the laws of chemistry could not be reduced to Newtonian mechanics of atomic particles, since the chemical elements displayed in their behavior a degree of stability completely lacking in mechanical systems."
When was it clearly understood that the laws of chemistry couldn't be reduced to Newtonian mechanics?,But it was not until Bohr's theory of the atom in 1913 that this point had been clearly understood.
How are the concepts of chemistry and mechanics related?,"In the final result, one may say, the concepts of chemistry are in part complementary to the mechanical concepts. If we know that an atom is in its lowest stationary state that determines its chemical properties we cannot at the same time speak about the motion of the electrons in the atom."
